player,ref,pattern,style,Nstrokes,Tprep_mean,Tprep_SD,Zprep_mean,Zprep_SD,Tstroke_mean,Tstroke_SD,MAGstroke_mean,MAGstroke_SD,MAGreb_mean,MAGreb_SD,Ratio_mean,Ratio_SD
DP20 ,R ,1,P,48.0,223.229167,9.005884,918.887066,18.509176,338.645833,10.841683999999999,115.41666699999999,5.657168,4088.579082,290.530559,1476.061237,127.382065
DP08 ,R ,2,O,55.0,246.18181800000002,16.644809,925.1006800000001,14.839637,361.818182,21.743744,115.63636399999999,7.5495,5291.430536,306.447737,1334.815001,285.941474
DP12 ,M ,1,L,50.0,204.6,12.640637,845.0328800000001,16.097759,293.65,15.128784,89.05,6.544393,3443.540454,233.63155899999998,1345.918377,113.37421699999999
DP08 ,M ,2,P,51.0,227.20588199999997,20.103775,939.6437689999999,23.056552,329.705882,31.928228000000004,102.5,13.583078,6248.794552,403.101762,1859.5197699999999,397.410372
DP17 ,M ,2,L,49.0,209.48979599999998,10.728413,958.6403140000001,19.380138,312.040816,12.845977,102.55102,4.606658,4965.035709000001,238.34463,1590.035165,139.489566
DP20 ,M ,1,O,50.0,220.7,6.488608999999999,968.300087,10.866714,337.35,8.768711999999999,116.65,5.165871,4853.203864,352.98789300000004,1793.03645,144.554346
DP15 ,R ,2,O,52.0,191.10576899999998,8.708423,933.945042,10.876057000000001,322.355769,13.507564000000002,131.25,7.897939999999999,3965.347511,280.929752,1589.7815890000002,335.520153
DP16 ,M ,2,N,50.0,223.85,24.281565,938.3568300000001,16.215471,342.6,26.764087,118.75,8.853254,4138.551425,283.155752,1899.293175,165.404193
DP13 ,M ,1,N,50.0,280.45,24.592028,866.781587,15.209335999999999,383.65,26.67936,103.2,6.019526,3698.485779,213.565207,1522.645552,147.50982
DP10 ,R ,1,O,51.0,198.088235,7.9149899999999995,910.375718,13.332898000000002,315.980392,9.001089,117.89215700000001,6.6402660000000004,4497.717344,196.28589399999998,1910.280471,140.338514
DP10 ,M ,1,P,51.0,194.117647,10.580921,909.26245,16.793522,302.45097999999996,13.923812,108.33333300000001,8.450838000000001,4892.065325,240.0957,2062.240459,120.80926000000001
DP07 ,M ,2,L,48.0,222.5,13.298936,960.5960660000001,16.406535,332.34375,13.956679000000001,109.84375,7.059892999999999,6904.602166,447.01679900000005,1929.1559690000001,277.75217999999995
DP02 ,M ,1,L,50.0,241.6,30.783808,889.9196810000001,19.741842000000002,327.8,31.500080999999998,86.2,9.038467,5664.006071,582.4818799999999,2025.381561,299.46230099999997
DP15 ,M ,2,P,48.0,189.6875,11.538845,920.4537210000001,15.699579,319.427083,15.195879999999999,129.739583,6.487295,3950.5969240000004,216.875616,1217.766268,278.743922
DP08 ,M ,2,O,51.0,241.568627,17.377865,920.4709650000001,16.915202999999998,356.911765,25.152476,115.34313700000001,9.327641999999999,5182.779475,277.982256,1522.241601,213.266236
DP20 ,M ,1,P,48.0,217.135417,8.104858,942.723892,19.467828,326.71875,11.394244,109.58333300000001,5.93254,4860.509370000001,576.0520849999999,1884.13823,215.511554
DP12 ,R ,1,L,48.0,205.520833,11.309927,841.479075,9.11507,293.489583,11.563189,87.96875,6.1811370000000005,3373.5934880000004,196.888396,1366.6283779999999,82.931347
DP20 ,R ,1,O,48.0,221.875,8.162251,930.883314,18.898185,337.864583,7.769786,115.98958300000001,4.213062,4240.705658,364.951236,1549.576432,198.959769
DP08 ,R ,2,P,55.0,234.18181800000002,17.938001,917.3215710000001,15.270119000000001,338.590909,18.128679,104.409091,6.854365,5661.399264,465.54002199999996,1541.34195,323.408491
DP17 ,R ,2,L,53.0,210.80188700000002,8.822142,948.4511560000001,16.150869,318.25471699999997,10.533656,107.45283,6.0742709999999995,4611.127079,281.5921,1639.805899,151.483154
DP15 ,M ,2,O,48.0,188.229167,6.937378,934.275981,20.326886,321.40625,11.143482,133.177083,9.849122,3975.440195,217.15408,1576.042016,310.658726
DP16 ,R ,2,N,54.0,222.083333,9.017147999999999,949.701251,14.056697,341.342593,13.630164,119.25925900000001,8.350088000000001,4521.890751,229.910417,1970.658971,192.038307
DP13 ,R ,1,N,49.0,282.755102,27.830612,878.2120050000001,11.014836,383.418367,30.003010999999997,100.663265,8.791205,3822.230239,224.55560400000002,1475.351605,128.878881
DP10 ,M ,1,O,51.0,199.558824,8.150244,910.877133,21.52895,313.62745099999995,9.059714999999999,114.068627,8.572642,4832.203153,356.583821,2029.7039170000003,173.075477
DP07 ,R ,2,L,53.0,215.188679,14.902319,954.1961259999999,11.750283999999999,316.698113,12.057291000000001,101.509434,8.816228,7005.4162400000005,464.663653,1802.7446300000001,330.131267
DP10 ,R ,1,P,51.0,203.578431,9.724388000000001,898.4828890000001,21.286069,317.941176,14.880405999999999,114.36274499999999,9.602644999999999,4408.065378,250.59312599999998,1880.8161300000002,164.035227
DP15 ,R ,2,P,52.0,187.35576899999998,8.095833,925.29331,15.839812,315.817308,10.786715,128.461538,5.819041,3902.580278,230.84820299999998,1265.938334,272.881232
DP02 ,R ,1,L,49.0,237.34693900000002,16.221194,865.039932,21.290135,318.11224500000003,16.867518,80.76530600000001,11.112635000000001,5324.986649,701.320896,1852.977381,321.736046
DP13 ,M ,1,O,50.0,282.95,20.175822,869.6972089999999,13.172367999999999,383.0,21.517672,100.05,9.509528,3878.7170170000004,237.52485099999998,1468.875918,117.16913400000001
DP10 ,R ,1,N,49.0,201.32653100000002,8.417833,907.025205,26.207154,314.846939,12.378663000000001,113.520408,8.793321,4659.357103,386.124056,1967.714884,231.945172
DP21 ,M ,1,L,48.0,218.697917,11.917152,929.587572,13.642728,327.135417,14.402918,108.4375,5.224355,5167.359872,256.549079,1214.153611,137.119601
DP15 ,R ,2,N,52.0,187.211538,8.541333,909.5205810000001,10.370229,312.644231,11.957989,125.43269199999999,8.280043,3811.380922,310.456168,1433.106872,262.09994
DP16 ,M ,2,O,50.0,206.2,6.9846770000000005,957.286975,18.110782,330.3,9.723735000000001,124.1,6.443633,4231.770099,141.31645,2136.5405600000004,151.262518
DP16 ,R ,2,P,54.0,202.268519,9.114944,876.369713,18.25637,312.638889,10.431907,110.37037,10.907062,2991.2179760000004,463.75324800000004,1374.055893,128.340119
DP01 ,R ,1,L,48.0,191.510417,19.128204,840.5578820000001,32.947487,283.489583,31.881344,91.979167,20.244242,4003.178545,610.721493,794.234767,401.28531
DP04 ,R ,2,L,53.0,236.08490600000002,26.391603000000003,872.795383,32.487212,306.556604,30.904733,70.471698,11.170193,5929.366435,569.335622,1955.7461859999999,1123.541501
DP13 ,R ,1,P,49.0,274.642857,22.626957,872.621193,16.048919,377.193878,25.488113000000002,102.55102,8.377329,3980.292796,227.954634,1455.794735,171.631833
DP08 ,R ,2,N,55.0,249.81818199999998,13.130881,919.9278720000001,15.651114999999999,365.590909,19.286843,115.772727,9.177679,5218.909390999999,260.155391,1569.474625,239.270731
DP14 ,R ,2,L,54.0,211.43518500000002,10.657642,949.2686259999999,13.365431,339.398148,12.304463,127.96296299999999,7.8017,4548.655446,260.88777400000004,1501.93091,327.184867
DP11 ,R ,1,L,44.0,209.659091,11.0836,904.6193210000001,18.980329,295.397727,11.360161,85.738636,6.482973,4829.006922,306.677254,1878.435068,162.56266499999998
DP13 ,R ,1,O,49.0,279.489796,18.922674,874.651993,13.964557000000001,382.244898,20.503079999999997,102.75510200000001,6.000106,3801.7832700000004,215.18587999999997,1480.669099,128.14135100000001
DP10 ,M ,1,N,50.0,200.25,9.261645,906.2381449999999,12.573924,314.4,9.071147,114.15,6.787782000000001,4849.591783,358.195277,1998.238117,189.324571
DP15 ,M ,2,N,48.0,193.333333,5.864909,910.4390689999999,12.889991,322.760417,9.70632,129.427083,8.524676,3805.6705020000004,289.947815,1482.676929,290.5894
DP16 ,R ,2,O,54.0,209.62963,9.232421,932.9148029999999,16.006559,331.157407,14.767960999999998,121.527778,8.103352000000001,3775.6628579999997,209.400016,1622.6173410000001,137.590235
DP21 ,R ,1,L,49.0,234.79591800000003,12.498299000000001,938.16045,11.720555000000001,343.367347,13.943254000000001,108.57142900000001,4.238956,5476.404725,310.004507,1214.555968,119.093455
DP01 ,M ,1,L,50.0,191.0,16.467346,814.888385,22.739608,283.85,23.030647000000002,92.85,14.751427,3603.85422,407.69455800000003,724.008746,207.37463400000001
DP16 ,M ,2,P,50.0,201.7,8.998866,890.726318,17.611247,309.35,11.09801,107.65,9.069038,3594.6138130000004,325.956076,1756.3835350000002,147.06672700000001
DP13 ,M ,1,P,49.0,283.316327,21.049222,884.334198,16.11583,383.010204,24.216792,99.693878,8.51825,4029.610757,297.492169,1570.164642,157.803272
DP04 ,M ,2,L,49.0,236.22449,26.868325,878.5579630000001,19.944357999999998,306.989796,28.921498,70.76530600000001,8.738147999999999,6387.1927350000005,536.535392,1943.376684,356.785642
DP08 ,M ,2,N,51.0,243.23529399999998,17.192252,927.8275289999999,20.575217000000002,360.88235299999997,24.077082,117.64705900000001,10.445235,5363.030498,334.00363500000003,1642.9025550000001,285.642439
DP14 ,M ,2,L,50.0,220.85,8.683933999999999,983.179391,11.615563,365.8,10.282241,144.95,7.0799009999999996,4529.905452,241.614448,1773.430975,181.989295
DP20 ,R ,1,N,48.0,220.364583,7.145702,953.740664,12.440294999999999,323.4375,8.196798,103.072917,3.935639,5231.256285,312.672147,1840.907806,130.887851
DP11 ,M ,1,L,44.0,226.36363599999999,15.091335999999998,953.913449,13.868326000000001,311.931818,17.040167999999998,85.568182,5.468292,6062.035333,207.748506,2313.275859,262.144706
DP10 ,M ,2,P,51.0,192.25490200000002,10.310855,904.9676210000001,21.491317000000002,307.745098,16.876425,115.490196,10.700696,4342.422751,349.339321,2098.938709,164.871702
DP07 ,M ,1,L,40.0,215.1875,9.029643,969.5485070000001,13.975309,318.5625,12.140834,103.375,5.871214,7697.7373769999995,409.54974100000004,2030.5471719999998,387.637157
DP02 ,M ,2,L,48.0,227.760417,27.464869,842.9378869999999,19.773668,317.760417,26.956621999999996,90.0,9.771321,4416.748079999999,351.708745,1720.411163,177.934378
DP15 ,M ,1,P,48.0,192.239583,7.859125,909.654777,18.133198999999998,307.395833,10.274922,115.15625,6.303626,4524.93034,206.578808,1001.716297,227.200369
DP16 ,M ,1,N,50.0,245.95,12.411832,936.1925640000001,10.915409,362.1,14.832053,116.15,5.397704,3942.5717210000003,142.223383,1652.501127,83.89864200000001
DP15 ,R ,1,O,48.0,199.375,9.043335,950.361828,17.338070000000002,327.552083,11.280863,128.177083,6.619192999999999,4693.805578,225.95539900000003,1335.044513,238.79546000000002
DP10 ,R ,2,O,55.0,194.818182,10.261111,890.87006,27.945325,309.454545,12.441445,114.63636399999999,7.583153,4234.695368,667.691088,1988.885107,157.10001200000002
DP13 ,M ,2,N,50.0,257.95,31.597315000000002,882.684107,18.528283,360.75,37.215759000000006,102.8,8.786585,3753.005375,200.352532,1717.5587289999999,184.311771
DP12 ,M ,2,L,50.0,191.65,9.788712,828.696213,11.86005,273.55,10.352091999999999,81.9,4.911461,3408.200913,191.10168000000002,1229.162932,93.725247
DP17 ,M ,1,L,49.0,208.01020400000002,9.546754,976.3041820000001,17.065868,311.88775499999997,13.302673,103.877551,5.402093,4959.067254,170.920508,1695.5834989999998,100.28411700000001
DP08 ,M ,1,P,51.0,240.04902,21.578289,910.4831369999999,31.366131,338.480392,30.087699,98.431373,11.022259,6000.412393,505.30965,1202.123478,292.95306800000003
DP20 ,M ,2,O,48.0,215.15625,6.771464,964.6869960000001,19.244563,328.958333,8.39252,113.80208300000001,5.672573000000001,5266.166325,508.053617,2178.299853,286.687254
DP20 ,R ,2,P,52.0,214.134615,7.1208860000000005,935.8094800000001,13.90993,332.115385,9.819256,117.980769,5.753057,4206.4346049999995,246.925719,1832.63973,163.11062900000002
DP08 ,R ,1,O,51.0,245.73529399999998,15.526542999999998,937.8770210000001,21.176578,360.343137,22.416621,114.60784299999999,8.19104,5511.987440999999,255.60941400000002,1106.1004289999998,265.35879900000003
DP07 ,R ,1,L,34.0,210.88235299999997,10.586625999999999,986.0605960000001,17.01548,314.485294,13.841354999999998,103.602941,7.208769,8080.208255,508.83077099999997,1959.349678,367.904424
DP10 ,R ,2,P,55.0,196.136364,14.254776999999999,890.905235,16.411167000000003,303.454545,19.623133,107.31818200000001,8.869613000000001,4299.3124609999995,366.67987400000004,2097.601114,145.365119
DP15 ,R ,1,P,48.0,190.46875,8.310085,932.031201,16.36476,315.104167,10.026008000000001,124.63541699999999,6.78291,4437.988163,216.881432,1156.850125,197.67567
DP02 ,R ,2,L,53.0,228.20754700000003,35.356621999999994,841.0999109999999,17.569505,310.801887,33.765215999999995,82.59434,12.925101,4494.466614,475.613609,1654.5321880000001,271.171782
DP16 ,R ,1,N,50.0,251.55,20.145453,937.215307,8.598532,369.65,20.843256,118.1,5.476294,3898.737207,142.893902,1637.198766,70.050338
DP15 ,M ,1,O,48.0,200.729167,8.441889999999999,929.986572,20.914266,327.083333,10.77247,126.35416699999999,7.1451210000000005,4432.350926,221.13540899999998,1363.117565,179.227933
DP10 ,M ,2,O,51.0,194.803922,7.497385,897.250104,21.956356,312.745098,11.470123,117.941176,9.743022,4426.1761240000005,528.354591,2114.851013,201.498988
DP13 ,R ,2,N,54.0,256.25,38.607085999999995,898.3311130000001,12.438075999999999,357.73148100000003,41.143068,101.481481,8.046424,4112.908174,217.273749,1805.597878,185.51263
DP20 ,R ,2,O,52.0,215.721154,5.520384,944.327601,13.701489000000002,330.28846200000004,7.030289,114.56730800000001,4.993161,4579.413413,269.15560899999997,1922.779364,195.26896200000002
DP17 ,R ,1,L,49.0,212.040816,8.34905,1002.3139160000001,11.771598,317.39795899999996,8.852953999999999,105.357143,3.3850160000000002,5619.126474000001,225.938804,1794.465311,113.188272
DP08 ,R ,1,P,51.0,239.411765,21.340034,922.0146990000001,14.650469000000001,347.156863,25.714876999999998,107.745098,7.250085,5799.358061,329.339657,1704.1137019999999,304.966625
DP08 ,M ,1,O,51.0,245.539216,12.463083000000001,939.5096689999999,24.064323,361.02941200000004,21.634327,115.490196,10.500233,5573.265493999999,301.1766,1191.2659640000002,198.697024
DP20 ,M ,2,P,48.0,209.947917,6.5535760000000005,948.973415,24.695299,328.75,9.181967,118.80208300000001,6.231133,4605.422383,582.259654,1982.068699,218.09465699999998
DP20 ,M ,2,N,48.0,215.885417,6.713941999999999,995.47106,10.833721,333.90625,9.338582,118.02083300000001,4.435061,5608.873791,260.995123,2457.347412,189.332884
DP14 ,R ,1,L,48.0,220.78125,10.341975,993.406584,13.512761,356.25,13.3289,135.46875,6.717242,5397.013122,274.95412200000004,1436.608567,248.822261
DP11 ,R ,2,L,48.0,210.989583,11.654827000000001,916.3639539999999,22.994339,320.260417,14.957738,109.27083300000001,10.118426,4433.586356,385.210601,1519.530826,232.95028399999998
DP08 ,R ,1,N,51.0,242.64705899999998,14.408432999999999,946.5243810000001,15.957694,360.88235299999997,19.923752,118.235294,7.636984,5913.467868,277.261022,1248.01965,257.451924
DP16 ,R ,1,P,50.0,224.7,11.623778999999999,921.0197119999999,10.872932,336.35,13.935072,111.65,6.460437000000001,3870.3361619999996,125.242832,1574.243779,127.03109599999999
DP01 ,R ,2,L,52.0,196.971154,14.360012,885.0557039999999,31.787884000000002,300.480769,17.912084,103.509615,9.305012,4328.025182,660.576301,1135.912888,374.924418
DP04 ,R ,1,L,37.0,223.17567599999998,36.976197,886.46765,30.382606,283.445946,44.223043,60.27027,12.05865,7167.5822849999995,500.041532,1516.087694,454.321264
DP13 ,R ,2,P,54.0,249.12037,29.409108000000003,901.955212,15.320648,351.759259,33.875569,102.638889,8.706653999999999,4098.3734859999995,239.685725,1830.3000550000002,183.438619
DP10 ,R ,2,N,55.0,190.318182,9.599076,908.423241,18.760737,308.909091,13.156498000000001,118.59090900000001,8.118960000000001,4391.384848,611.44694,1976.3069039999998,228.28749100000002
DP13 ,M ,2,O,50.0,261.35,37.345634999999994,874.808448,10.90142,367.4,40.487967,106.05,8.114141,3666.721236,193.838909,1695.7244850000002,158.356404
DP21 ,M ,2,L,48.0,235.208333,11.993275,945.098133,12.113114999999999,350.729167,11.036187,115.52083300000001,6.481527,5040.752278,324.171777,1342.8184529999999,187.931883
DP16 ,M ,1,O,50.0,234.15,9.043686,938.8286609999999,8.380935000000001,356.05,9.341727,121.9,5.5226809999999995,4276.7358189999995,153.144048,1712.534376,84.419723
DP15 ,R ,1,N,48.0,197.8125,12.123314,940.9018550000001,13.908273000000001,325.78125,16.252301,127.96875,7.8152919999999995,4176.126547999999,212.51520299999999,1455.98675,147.055731
DP14 ,M ,1,L,50.0,224.4,9.537252,990.7776789999999,22.812342,366.2,15.941859,141.8,9.987748,4913.784850999999,230.30846499999998,1667.443507,236.22250400000001
DP20 ,R ,2,N,52.0,211.586538,6.734255999999999,973.206664,17.567651,328.46153799999996,9.369247999999999,116.875,4.560997,5080.332476,324.80427799999995,2149.410267,199.043106
DP11 ,M ,2,L,44.0,213.29545499999998,13.476645999999999,886.578326,19.096198,295.795455,17.030860999999998,82.5,8.875757,4966.577677,426.901928,1998.937477,241.815375
DP08 ,M ,1,N,51.0,247.25490200000002,13.202792,951.3984009999999,21.768522,367.843137,20.603517,120.58823500000001,9.21396,5786.523416,291.859361,1304.697933,276.680712
DP01 ,M ,2,L,50.0,219.45,23.654022,822.616413,44.151326,310.65,26.155978,91.2,16.09316,3746.065004,672.102706,1694.786158,343.169808
DP16 ,M ,1,P,50.0,224.6,10.848681,908.0606650000001,19.280195000000003,327.9,12.771141,103.3,6.377576,4201.477642,238.545132,1641.970717,111.60029499999999
DP13 ,M ,2,P,50.0,244.95,25.437448,892.274809,18.884372,351.25,29.234494,106.3,9.247724,3833.019543,236.77212200000002,1765.434432,219.22704500000003
DP04 ,M ,1,L,38.0,235.526316,26.864009000000003,888.219423,21.630606,298.94736800000004,24.053933999999998,63.421053,8.937111999999999,7108.281406,557.7024389999999,1585.239692,565.602235
DP10 ,M ,2,N,51.0,193.77451000000002,9.197453,899.082792,27.415556,310.735294,11.37205,116.960784,7.767138,4267.281459000001,806.596805,2005.309943,208.57397
DP13 ,R ,2,O,54.0,258.935185,39.338882,890.1339849999999,14.540348999999999,365.555556,40.793043,106.62037,6.6438619999999995,3677.423437,219.81646099999998,1667.236073,141.871933
DP16 ,R ,1,O,50.0,229.55,10.160573,954.9261939999999,8.023789,355.1,10.037684,125.55,4.581741,4067.710823,116.864281,1670.574581,51.725908000000004
DP15 ,M ,1,N,48.0,198.229167,7.051450999999999,921.488771,16.2089,325.416667,9.114131,127.1875,6.137281,4007.0476229999995,187.205407,1398.959331,167.14706999999999
DP21 ,R ,2,L,52.0,252.932692,27.99125,937.8527939999999,13.063406,369.903846,30.008012,116.971154,4.859207,4899.636606,301.882905,1332.00721,163.755435
DP08 ,R ,1,L,51.0,248.921569,21.709761,944.823234,16.816279,358.72549,27.610561999999998,109.803922,8.044300999999999,6212.857394,331.105503,1559.901693,320.69838300000004
DP17 ,R ,1,P,49.0,195.408163,10.462569,965.955393,13.695070000000001,297.040816,14.547635999999999,101.632653,6.261469,5116.628879,248.836473,1819.711791,110.992581
DP12 ,R ,2,P,52.0,196.298077,11.381211,827.160355,12.308599000000001,278.75,12.646204,82.451923,5.060671,3125.081075,188.204302,1239.1138640000001,87.687793
DP12 ,M ,2,O,50.0,208.55,6.56774,886.7555789999999,21.957626,308.5,8.556535,99.95,7.961803,4104.695183,287.399396,1515.204117,148.87221399999999
DP11 ,R ,2,N,48.0,205.572917,8.995264,872.609509,11.871603,311.510417,9.767777,105.9375,6.454114,4142.101204,275.780999,1246.181223,147.347212
DP14 ,R ,1,N,48.0,191.354167,7.346991,974.097749,10.490026,327.395833,10.804825,136.041667,5.4537059999999995,4427.009886,180.26353899999998,1446.069653,182.194408
DP17 ,M ,1,O,49.0,211.12244900000002,7.790572999999999,980.447467,13.374848000000002,321.27551,10.118085,110.15306100000001,4.460713,5002.501757999999,238.66075299999997,1688.031172,93.006302
DP20 ,M ,2,L,48.0,207.916667,6.509676,986.6880279999999,15.355682,318.697917,8.186483,110.78125,4.73096,6123.5483509999995,307.25226499999997,2502.20148,146.340173
DP15 ,R ,1,L,48.0,206.510417,17.264676,950.909153,15.958034,320.729167,17.871872,114.21875,8.523375999999999,5460.9571909999995,262.515143,1371.446957,243.86115800000002
DP21 ,M ,2,N,48.0,237.083333,13.637922,983.7820630000001,13.934157,346.666667,14.887282999999998,109.58333300000001,4.263069000000001,6363.130096,429.699699,1686.4009850000002,196.385657
